food_code,food_name,primarysource,energy_kj,energy_kcal,carb_g,protein_g,fat_g,freesugar_g,fibre_g,sfa_mg,mufa_mg,pufa_mg,cholesterol_mg,calcium_mg,phosphorus_mg,magnesium_mg,sodium_mg,potassium_mg,iron_mg,copper_mg,selenium_ug,chromium_mg,manganese_mg,molybdenum_mg,zinc_mg,vita_ug,vite_mg,vitd2_ug,vitd3_ug,vitk1_ug,vitk2_ug,folate_ug,vitb1_mg,vitb2_mg,vitb3_mg,vitb5_mg,vitb6_mg,vitb7_ug,vitb9_ug,vitc_mg,carotenoids_ug,servings_unit,unit_serving_energy_kj,unit_serving_energy_kcal,unit_serving_carb_g,unit_serving_protein_g,unit_serving_fat_g,unit_serving_freesugar_g,unit_serving_fibre_g,unit_serving_sfa_mg,unit_serving_mufa_mg,unit_serving_pufa_mg,unit_serving_cholesterol_mg,unit_serving_calcium_mg,unit_serving_phosphorus_mg,unit_serving_magnesium_mg,unit_serving_sodium_mg,unit_serving_potassium_mg,unit_serving_iron_mg,unit_serving_copper_mg,unit_serving_selenium_ug,unit_serving_chromium_mg,unit_serving_manganese_mg,unit_serving_molybdenum_mg,unit_serving_zinc_mg,unit_serving_vita_ug,unit_serving_vite_mg,unit_serving_vitd2_ug,unit_serving_vitd3_ug,unit_serving_vitk1_ug,unit_serving_vitk2_ug,unit_serving_folate_ug,unit_serving_vitb1_mg,unit_serving_vitb2_mg,unit_serving_vitb3_mg,unit_serving_vitb5_mg,unit_serving_vitb6_mg,unit_serving_vitb7_ug,unit_serving_vitb9_ug,unit_serving_vitc_mg,unit_serving_carotenoids_ug,veg_category
BFP194,Mutton korma,bfp_manual,481.7354736328125,115.6387710571289,2.5322153568267822,7.092463493347168,8.535347938537598,1.6357982158660889,0.7784342169761658,1168.1102294921875,966.884033203125,1809.203125,3.902146100997925,79.06681060791016,75.7834701538086,8.629770278930664,56.93549728393555,165.8725128173828,1.0924184322357178,0.0298515558242797,0.2504247426986694,0.0011832235613837,0.1644915640354156,0.0073676886968314,0.1639411598443985,18.17363166809082,1.396728754043579,0.247783288359642,0.0,3.189619779586792,0.0,8.682284355163574,0.074827067553997,0.0836985781788826,2.320434808731079,0.1174565106630325,0.0341093949973583,0.7946456074714661,8.682284355163574,1.5115110874176023,116.20481872558594,bowl,1765.3919677734375,423.775634765625,9.279683113098145,25.991395950317383,31.279062271118164,5.994627952575684,2.852689027786255,4280.71533203125,3543.29150390625,6630.09619140625,14.300000190734863,289.7521667480469,277.71990966796875,31.62508583068848,208.64866638183597,607.8646850585938,4.003331184387207,0.1093955039978027,0.9177190065383912,0.0043361000716686,0.6028040051460266,0.0270000007003545,0.6007869839668274,66.5999984741211,5.118521690368652,0.9080390334129332,0.0,11.68883991241455,0.0,31.817533493041992,0.2742150127887726,0.3067260086536407,8.503582000732422,0.4304369986057281,0.1249990016222,2.912097930908203,31.817533493041992,5.539158821105957,425.8499755859375,nonveg
BFP196,Shahi keema kofta curry,bfp_manual,1722.0665283203125,418.1347961425781,1.7322837114334106,4.140879154205322,43.82570266723633,0.7798011898994446,0.9061806201934814,6172.1923828125,9503.203125,26149.466796875,14.973505020141602,14.510371208190918,46.64754104614258,12.060007095336914,104.53046417236328,119.63288879394533,0.6746535897254944,0.0538449808955192,0.4882796704769134,0.0014864120166748,0.2615056037902832,0.0375958122313022,0.7782397866249084,0.9723054766654968,20.266929626464844,1.590023398399353,0.0,7.577338695526123,0.0,5.602829456329346,0.0361940711736679,0.0424775965511798,1.0495187044143677,0.2374734729528427,0.067951999604702,0.7993971705436707,5.602829456329346,3.398523569107056,662.2913208007812,bowl,10626.7001953125,2580.26806640625,10.689749717712402,25.552949905395508,270.44403076171875,4.812075138092041,5.591949939727783,38087.98046875,58643.31640625,161365.75,92.4000015258789,89.54205322265625,287.8572998046875,74.42110443115234,645.0469970703125,738.2426147460938,4.163219928741455,0.3322719931602478,3.01312518119812,0.0091725001111626,1.6137250661849976,0.2319999933242797,4.802439689636231,6.0,125.06520080566406,9.811875343322754,0.0,46.75899887084961,0.0,34.574501037597656,0.2233499884605407,0.262125015258789,6.476475238800049,1.4654250144958496,0.4193249940872192,4.933000087738037,34.574501037597656,20.97195053100586,4086.93359375,veg
BFP197,Minced meat ball curry,bfp_manual,456.2625732421875,109.78636169433594,2.8584256172180176,6.816090106964111,7.846933841705322,1.2734930515289309,1.48771071434021,2449.634521484375,2445.43505859375,2350.8056640625,24.76614189147949,23.84160614013672,75.90165710449219,18.972312927246094,170.0554962158203,194.08523559570312,1.0058752298355105,0.0804556533694267,0.8226768374443054,0.0025402717292308,0.4683521389961242,0.0648637041449546,1.2783215045928955,1.6081910133361816,1.725441575050354,2.6581454277038574,0.0,8.517609596252441,0.0,9.075289726257324,0.0588329881429672,0.0688707828521728,1.7238937616348269,0.3907100260257721,0.1103420034050941,1.3232866525650024,9.075289726257324,5.525891780853272,1085.56494140625,bowl,1702.27001953125,409.6019287109375,10.66450023651123,25.430150985717773,29.276124954223636,4.751275062561035,5.55049991607666,9139.3408203125,9123.673828125,8770.6201171875,92.4000015258789,88.95065307617188,283.1814880371094,70.78379821777344,634.4600219726562,724.1126098632812,3.752820014953613,0.3001720011234283,3.0693252086639404,0.009477499872446,1.7473750114440918,0.2419999986886978,4.769289970397949,6.0,6.437449932098389,9.917275428771973,0.0,31.778350830078125,0.0,33.85900115966797,0.2194999903440475,0.2569500207901001,6.431675434112549,1.45770001411438,0.4116750061511993,4.937050342559815,33.85900115966797,20.61655044555664,4050.134033203125,veg
BFP198,Boti kebab,bfp_manual,554.2810668945312,132.8579559326172,3.062425136566162,9.22347927093506,9.267193794250488,2.0911314487457275,0.756249189376831,600.8294677734375,714.7971801757812,1926.085693359375,1.2067577838897705,98.67244720458984,95.6054229736328,9.987927436828612,78.14322662353516,221.64437866210935,1.4117698669433594,0.0276563297957181,0.5338876247406006,0.0012748116860166,0.1917954981327057,0.0065823155455291,0.1768766939640045,3.071747064590454,1.4708447456359863,0.8357123136520386,0.0,2.1769509315490723,0.0,12.02987003326416,0.1010074615478515,0.1007280796766281,3.1066999435424805,0.1453821361064911,0.0475751459598541,0.7209456562995911,12.02987003326416,8.261631965637207,86.90118408203125,kebab,303.1473999023437,72.66267395019531,1.6749016046524048,5.0445051193237305,5.068413734436035,1.1436816453933716,0.4136077761650085,328.60565185546875,390.9368591308594,1053.414794921875,0.6599999666213989,53.96593475341797,52.28852081298828,5.462597370147705,42.73809051513672,121.22174072265624,0.7721251845359802,0.0151258008554577,0.2919937968254089,0.0006972200353629,0.1048967987298965,0.0035999999381601,0.0967373996973037,1.6799999475479126,0.8044344186782837,0.4570677876472473,0.0,1.1906180381774902,0.0,6.579377174377441,0.0552430041134357,0.0550902001559734,1.699116349220276,0.0795124024152755,0.0260198004543781,0.3942995965480804,6.579377174377441,4.518451690673828,47.52799224853516,veg
BFP199,Mutton seekh kebab,bfp_manual,560.464599609375,133.93788146972656,3.1081693172454834,11.250200271606444,8.434111595153809,1.3983994722366333,1.8839112520217896,113.4494857788086,431.5709228515625,257.3468933105469,0.0,117.44136810302734,105.9529266357422,19.833555221557617,102.16944122314452,269.5935363769531,2.194542646408081,0.0836123153567314,0.5092586278915405,0.0032738691661506,0.5028287172317505,0.1244859397411346,0.2310158908367157,0.0,0.2223296761512756,0.9405412673950196,0.0,8.268672943115234,0.0,11.780043601989746,0.1261809468269348,0.0914943888783454,3.96035361289978,0.1023702323436737,0.0433700121939182,0.6513226628303528,11.780043601989746,8.822129249572754,244.73753356933597,kebab,252.125,60.25196075439453,1.398210048675537,5.06090259552002,3.7940850257873535,0.629069983959198,0.8474774956703186,51.03525161743164,194.1421813964844,115.76750183105467,0.0,52.83100128173828,47.66292572021485,8.922124862670898,45.96092224121094,121.27664947509766,0.987214982509613,0.0376130007207393,0.229090005159378,0.0014727499801665,0.2261974960565567,0.0560000017285347,0.103922501206398,0.0,0.1000149995088577,0.4231024980545044,0.0,3.7196624279022217,0.0,5.299252510070801,0.0567625015974044,0.0411587506532669,1.7815650701522827,0.0460512489080429,0.0195099990814924,0.2929975092411041,5.299252510070801,3.968634843826294,110.09517669677734,nonveg
BFP201,Indian lamb and egg curry (Nargisi kofta),bfp_manual,1383.6434326171875,335.75128173828125,2.069631338119507,3.839743852615357,34.69672775268555,0.7465229034423828,0.5953487157821655,5010.52001953125,7559.208984375,20490.216796875,44.04297637939453,12.90814971923828,47.06248092651367,8.06364631652832,57.438236236572266,85.79649353027344,0.5523604154586792,0.0387796908617019,4.179257392883301,0.0007525100372731,0.1125792637467384,0.0171388369053602,0.5566174983978271,25.08793258666992,15.96417236328125,0.6058498620986938,0.0805781111121177,4.0089921951293945,1.4014836549758911,11.347914695739746,0.031678456813097,0.0465737655758857,0.5994164943695068,0.299670547246933,0.0620005093514919,2.432643175125122,11.347914695739746,1.960953950881958,268.4504089355469,kofta,5409.00830078125,1312.53564453125,8.090705871582031,15.010518074035645,135.63818359375,2.918344497680664,2.327367067337036,19587.375,29550.837890625,80101.3828125,172.1750030517578,50.461181640625,183.97900390625,31.52280807495117,224.54042053222656,335.39996337890625,2.1593151092529297,0.151599496603012,16.3377628326416,0.0029417499899864,0.4401004910469055,0.06700000166893,2.175956964492798,98.0749969482422,62.40793991088867,2.3684184551239014,0.3149999976158142,15.67215347290039,5.478749752044678,44.36183547973633,0.1238389983773231,0.1820684969425201,2.343268871307373,1.1714869737625122,0.2423754930496215,9.509810447692873,44.36183547973633,7.665859222412109,1049.439697265625,nonveg
BFP203,Soya chunks sweet and sour (Nutrinugget sweet and sour),bfp_manual,2061.898193359375,500.9414978027344,3.27394437789917,2.8535497188568115,55.99108505249024,1.0960159301757812,0.8577092289924622,6602.275390625,11138.2529296875,33675.6953125,23.505708694458008,13.891353607177734,41.68389892578125,11.229186058044434,2257.6689453125,111.44849395751952,0.6987846493721008,0.0435282401740551,1.3102428913116455,0.0024610585533082,0.15902641415596,0.0058493469841778,0.1735067963600158,12.18397331237793,26.184070587158203,1.0537922382354736,0.0704087987542152,6.483437538146973,0.977924108505249,8.792770385742188,0.0155874257907271,0.0117961829528212,0.1585498005151748,0.1334950923919677,0.0367533937096595,2.290398359298706,8.792770385742188,8.185510635375977,237.5078582763672,bowl,9517.515625,2312.2958984375,15.112199783325195,13.171700477600098,258.4492492675781,5.059100151062012,3.959100008010864,30475.443359375,51413.0625,155443.640625,108.5,64.12110137939453,192.40870666503903,51.83279800415039,10421.173828125,514.4351196289062,3.225519895553589,0.2009219974279403,6.047950267791748,0.0113599998876452,0.7340499758720398,0.0270000007003545,0.8008900284767151,56.2400016784668,120.86304473876952,4.864199638366699,0.324999988079071,29.92690086364746,4.513999938964844,40.5865478515625,0.0719500035047531,0.0544500015676021,0.7318500280380249,0.6162000298500061,0.1696500033140182,10.57224941253662,40.5865478515625,37.78350067138672,1096.3125,veg
BFP204,Soya chunks korma (Nutrinugget korma),bfp_manual,546.5907592773438,131.42710876464844,7.671975135803223,3.861602783203125,9.499078750610352,4.664626121520996,2.5699493885040283,2248.83984375,2138.18896484375,4320.55078125,3.3172497749328613,89.70457458496094,94.02738189697266,33.56621170043945,148.9761199951172,252.2684783935547,1.1835428476333618,0.1483855992555618,1.4610397815704346,0.0045727384276688,0.8137177228927612,0.1230398043990135,0.6241536140441895,8.44390869140625,3.270684242248535,1.2595380544662476,0.0,8.582106590270996,0.0,19.978904724121094,0.0613236837089061,0.1019240021705627,0.3340977132320404,0.3292187452316284,0.1151443496346473,1.8789143562316892,19.978904724121094,4.6620917320251465,295.5028686523437,bowl,1359.3712158203125,326.8592224121094,19.080202102661133,9.603806495666504,23.624210357666016,11.600924491882324,6.3914642333984375,5592.8642578125,5317.67626953125,10745.2099609375,8.25,223.0952911376953,233.8460998535156,83.47917175292969,370.5036315917969,627.3917236328125,2.9434709548950195,0.369035005569458,3.63360595703125,0.0113724004477262,2.02371597290039,0.3059999942779541,1.5522699356079102,21.0,8.134191513061523,3.1324710845947266,0.0,21.343698501586918,0.0,49.687538146972656,0.1525119990110397,0.2534849941730499,0.830901026725769,0.8187670111656189,0.2863639891147613,4.672860145568848,49.687538146972656,11.594622611999512,734.9156494140625,veg
BFP205,Mushroom matar,bfp_manual,293.62286376953125,70.77049255371094,5.332342624664307,2.7919771671295166,4.107232093811035,1.393723726272583,3.132453680038452,519.3504028320312,811.157958984375,2560.03564453125,0.0,21.42462921142578,42.2718391418457,21.712589263916016,61.62757110595703,214.87384033203125,0.8128485083580017,0.0983157753944397,0.3953348994255066,0.0050306189805269,0.5645567178726196,0.0414590537548065,0.3661800622940063,0.0,1.997036576271057,10.34156608581543,0.0,21.214582443237305,0.0,20.56507873535156,0.0725601911544799,0.0242447983473539,0.605364203453064,0.3282393217086792,0.1106656268239021,3.524902582168579,20.56507873535156,14.891976356506348,1737.1214599609375,bowl,771.9639282226562,186.0626983642578,14.019262313842772,7.340386867523193,10.79832363128662,3.664239168167114,8.235533714294434,1365.4241943359375,2132.615234375,6730.58984375,0.0,56.32749176025391,111.13689422607422,57.08456802368164,162.02503967285156,564.9248046875,2.1370599269866943,0.2584820091724396,1.0393749475479126,0.0132259996607899,1.4842760562896729,0.1089999973773956,0.9627240300178528,0.0,5.250409126281738,27.18901252746582,0.0,55.7752571105957,0.0,54.067649841308594,0.1907680034637451,0.063741996884346,1.5915629863739014,0.8629739880561829,0.2909509837627411,9.26732063293457,54.067649841308594,39.15249252319336,4567.06591796875,veg
BFP206,Soya chunks and peas (Nutrinugget matar),bfp_manual,342.63330078125,82.62155151367188,5.819057941436768,3.0291988849639893,5.108036518096924,1.6438199281692505,2.8574466705322266,640.478271484375,1026.657958984375,3128.073974609375,0.0,20.321874618530277,34.93378448486328,22.746654510498047,70.96722412109375,173.4892120361328,0.988318145275116,0.1096774488687515,0.4662756323814392,0.0032416670583188,0.6613772511482239,0.0480014346539974,0.4489363431930542,0.0,2.437938690185547,6.668615818023682,0.0,21.656837463378903,0.0,23.37250518798828,0.0882724002003669,0.0223148353397846,0.5399322509765625,0.2758844494819641,0.1045045107603073,1.6730164289474487,23.37250518798828,17.564260482788086,2049.01806640625,bowl,763.763916015625,184.1717071533203,12.971261978149414,6.752387046813965,11.386323928833008,3.664239168167114,6.369534015655518,1427.690185546875,2288.523193359375,6972.7900390625,0.0,45.29949188232422,77.87089538574219,50.704566955566406,158.1930389404297,386.7247924804688,2.2030599117279053,0.2444819957017898,1.0393749475479126,0.0072260000742971,1.4742759466171265,0.1070000007748603,1.000723958015442,0.0,5.434409141540527,14.865012168884276,0.0,48.2752571105957,0.0,52.09965133666992,0.1967680007219314,0.0497419983148574,1.2035629749298096,0.6149740219116211,0.2329510003328323,3.729321002960205,52.09965133666992,39.15249252319336,4567.4658203125,veg
